Title,genre,director,publication date,publisher
Cousin Randy,,,,
"You, Me and Dupree",romantic comedy,Joe Russo,2006-07-13,
Shiva,,,,
Mehmet Aktaş,,,,
In the Fade,drama,Fatih Akın,2017-11-23,
Tap Dancing Kid,,,,
Tiana's Fantasy Sequence,,Eric Goldberg,,
Kali Prasad Baskota,pop music,,,
Better Luck Tomorrow,crime film,Justin Lin,2002-01-01,
Sign Gene,superhero,Emilio Insolera,2017-09-14,
The Founding of a Republic,war film,Peter Chan,2009-01-01,
Max 2: White House Hero,adventure film,Brian Levant,2017-05-09,
screenplay of The Godfather Part II,,,,
screenplay of Judge Dredd,,,,
screenplay of Blade Runner,,,,
original script from Batman,,,,
"script to the James Bond movie Skyfall, copy of Daniel Craig",,,,
War and Peace movie script,,,,
Mr. Smith Goes to Washington script,,,,
Shield of Straw script,,,,
Brian Reilly,,,,
Menashe,independent film,Joshua Z. Weinstein,2017-01-23,
USS Franklin,,,,
God on Trial,drama,Andy De Emmony,2008-01-01,
Tru Confessions,novel,,1999-04-01,
Bienvenue en Suisse,comedy film,Léa Fazer,2004-01-01,
Welcome to Woop Woop,comedy film,Stephan Elliott,1997-01-01,
Welcome aboard,comedy film,Éric Lavaine,2011-01-01,
The Unauthorized Full House Story,drama,Brian K. Roberts,2015-08-22,
Untouchables : a screenplay,,,,
Pink Elephants on Parade,,,,
Big Monster on Campus,horror film,,2000-01-01,
Misha Segal,,,,
5 Broken Cameras,documentary film,Emad Burnat,2011-11-23,
Matthew Herbert,Western classical music,,,
Carolina,romantic comedy,Marleen Gorris,2003-01-01,
Small Crimes,crime film,E. L. Katz,2017-03-11,
Black Butterfly,thriller,Brian Goodman,2017-08-17,
Billa II,crime film,Chakri Toleti,2012-01-01,
Sobibor,war film,Konstantin Khabensky,2018-01-01,
The Lost Prince,docudrama,Stephen Poliakoff,2003-01-01,
Kidnapped,fiction,,,
After Midnight,comedy film,Davide Ferrario,2004-01-01,
Minor Mishaps,comedy film,Annette K. Olesen,2002-02-15,
Bogus,,,,
Beautiful Boy,drama,Shawn Ku,2010-01-01,
The Mouse,,,,
Ned Leeds,,,,
Beauty and the Beast Triptych Poster,,,2017-01-18,
Pirates of the Caribbean: Dead Men Tell No Tales Final Poster,,,2017-03-01,
Cars 3 film poster,,,2017-05-08,
Bertrand Blier filmography,,,,
Happy Burnout,comedy film,André Erkau,2017-04-27,
Nina's House,drama,Richard Dembo,2005-01-01,
Shut Up & Sing,documentary film,Cecilia Peck,2006-01-01,
Madame Upanova,,,,
Blanche,comedy film,Bernie Bonvoisin,2002-01-01,
Blood,vampire film,Ten Shimoyama,2009-01-01,
Blood Night: The Legend of Mary Hatchet,slasher film,,2009-01-01,
Blood Surf,monster film,James Hickox,2000-01-01,
Blood Ties,crime film,Guillaume Canet,2013-05-20,
Blood Out,crime film,Jason Hewitt,2011-01-01,
Dasavathaaram,disaster film,K. S. Ravikumar,2008-01-01,
Getting Even with Dad,comedy film,Howard Deutch,1994-01-01,
Yana's Friends,romantic comedy,Arik Kaplun,1999-01-01,
Boarding Gate,erotic thriller,Olivier Assayas,2007-01-01,
Bob,,,,
Bob Hilliard,,,,
Mike Wazowski,,,,
Lawnmower Man 2: Beyond Cyberspace,science fiction film,Farhad Mann,1996-01-01,
Kamen Rider × Super Sentai × Space Sheriff: Super Hero Taisen Z,fictional crossover,Osamu Kaneda,2013-04-27,
Stitch's Great Escape!,,,,
Chris Parker,,,,
Bol Bachchan,action comedy film,Rohit Shetty,2012-01-01,
Bollywood/Hollywood,romantic comedy,Deepa Mehta,2002-01-01,
James' Journey to Jerusalem,drama,Ra’anan Alexandrowicz,2003-01-01,
Bonjour Monsieur Shlomi,comedy-drama,Shemi Zarhin,2003-01-01,
"Roman J. Israel, Esq.",crime film,Dan Gilroy,2018-04-19,
Berry Sakharof,rock music,,,
Boogie Woogie,LGBT-related film,,2009-01-01,
Stephen Carpenter,,,,
The Adventures of Pollyanna,,Robert Day,1982-04-10,
Bosta,musical film,Philippe Aractingi,2005-01-01,
"Sweet Emma, Dear Böbe",drama,István Szabó,1992-03-20,
Secuestrados,horror film,Miguel Ángel Vivas,2010-01-01,
"Police, Adjective",crime film,Corneliu Porumboiu,2009-01-01,
Kevin Levin,,,,
Dood van een Schaduw,fantasy film,Tom Van Avermaet,2012-06-04,
The Artist and the Model,drama,Fernando Trueba,2012-01-01,
Private Lessons,erotic film,Alan Myerson,1981-01-01,
On My Way,road movie,Emmanuelle Bercot,2013-02-15,
Dust Devil,horror film,Richard Stanley,1992-01-01,
The Old Man and the Gun,biographical film,David Lowery,2018-10-19,
X: Night of Vengeance,erotic thriller,Jon Hewitt,2011-08-30,
Catfish,documentary film,Henry Joost,2010-01-01,
The Pope's Toilet,comedy-drama,Enrique Fernández,2007-05-21,
O Jerusalem,drama,Élie Chouraqui,2006-01-01,
Puccini for Beginners,romantic comedy,Maria Maggenti,2006-01-01,
Amy Winston,,,,
Patrice Séverac,,,,
Casa de Mi Padre,parody film,Matt Piedmont,2012-01-01,
In Search of a Midnight Kiss,romantic comedy,Alex Holdridge,2007-01-01,
Winnebago Man,documentary film,Ben Steinbauer,2009-01-01,
Graduation Day,slasher film,Herb Freed,1981-01-01,
Nina's Tragedies,drama,Savi Gabizon,2004-01-01,
Times and Winds,drama,Reha Erdem,2006-09-10,
Ushpizin,comedy-drama,Gidi Dar,2004-01-01,
Boudu,film based on literature,Gérard Jugnot,2005-01-01,
Bye Bye Germany,comedy film,Sam Garbarski,2017-02-10,
Final Arrangements,comedy film,Michel Delgado,2008-01-01,
Bowling,comedy film,Marie-Castille Mention Schaar,2012-01-01,
Boxes,drama,Jane Birkin,2007-01-01,
Brahm Wenger,,,,
Brigands,drama,Otar Iosseliani,1996-01-01,
IKS Kronos One,,,,
Mom and Dad,horror film,Brian Taylor,2017-09-09,
Broken,coming-of-age story,Rufus Norris,2012-05-17,
Broken Horses,crime film,Vidhu Vinod Chopra,2014-01-01,
Broken English,comedy-drama,Zoe Cassavetes,2007-01-01,
Brothers in Arms,Western film,Jean-Claude La Marre,2005-01-01,
The Remains,,,2016-08-05,
The Nightingale,drama,Jennifer Kent,2018-09-06,
Bruno Fontaine,Western classical music,,,
Cross,novel,,,
Buck,,,,
Bus Palladium,comedy film,Christopher Thompson,2010-01-01,
Bwana,tragicomedy,Imanol Uribe,1996-09-27,
Bye Bye Blondie,flashback film,Virginie Despentes,2012-01-01,
Ólafur Arnalds,,,,
C'est la vie,drama,Jean-Pierre Améris,2001-01-01,
It's My Turn,romantic comedy,Claudia Weill,1980-10-24,
I Didn't Do It!,,Jean-Patrick Benes,1999-01-01,
What's Life?,drama,François Dupeyron,1999-01-01,
Not a Love Story: A Film About Pornography,documentary film,Bonnie Sherr Klein,1982-01-01,
CBGB,musical film,Randall Miller,2013-09-05,
The Watch,comic science fiction,Akiva Schaffer,2012-01-01,
CPC Gangbangs,punk rock,,,
CQ,comedy film,Roman Coppola,2001-01-01,
Cabaret Paradis,comedy film,Shirley and Dino,2006-01-01,
Cadavres,black comedy film,Érik Canuel,2009-01-01,
The Tunnel,disaster film,Kim Seong-hun,2016-08-10,
California Dreamin',comedy film,Cristian Nemescu,2007-01-01,
California,,,,
Jai Lava Kusa,action thriller,K. S. Ravindra,2017-09-10,
Camille redouble,comedy film,Noémie Lvovsky,2012-05-25,
Camping 2,comedy film,Fabien Onteniente,2010-01-01,
Happy Camper,comedy film,André Ducharme,2004-01-01,
Camping à la ferme,comedy film,Jean-Pierre Sinapi,2005-01-01,
East Side Story,romantic comedy,,2006-06-07,
Natura contro,splatter film,Antonio Climati,1988-01-01,
Drone,thriller film,Jason Bourque,2017-04-17,
Rodin,biographical film,Jacques Doillon,2017-08-31,
Benny,,,,
Roark family,,,,
Radiance,drama,Naomi Kawase,2017-09-14,
Caresses,comedy film,Ventura Pons,1998-01-01,
A Gentle Creature,,,,
Jupiter's Moon,drama,Kornél Mundruczó,2017-06-08,
Carl Lucas,,,,
Amant Double,erotic film,François Ozon,2017-09-08,
Barbara,,,,
Carles Cases,,,,
The Workshop,drama,Laurent Cantet,2018-02-15,
Western,,,,
Carlos Dash,,,,
Carmen: A Hip Hopera,musical film,Robert Townsend,2001-01-01,
Cars Race-O-Rama,,,2009-10-12,THQ
Cars Mater-National Championship,,,2007-10-29,THQ
Mr. Stein Goes Online,comedy film,Stéphane Robelin,2017-06-01,
Faces Places,documentary film,Agnès Varda,2018-04-26,
A Prayer Before Dawn,drama,Jean-Stéphane Sauvaire,2018-08-09,
Carved,slasher film,Kōji Shiraishi,2007-01-01,
Casanova Brown,romantic comedy,Sam Wood,1944-01-01,
Servant of the People 2,political satire,Aleksey Kiryushchenko,2016-12-23,
Jeune Femme,comedy film,Léonor Serraille,2018-05-03,
Enrique Granados,Western classical music,,,
The Dream Team,comedy film,Howard Zieff,1989-01-01,
That Day,comedy film,Raúl Ruiz,2003-01-01,
What the Day Owes the Night,drama,Alexandre Arcady,2012-01-01,
Gravehopping,comedy-drama,Jan Cvitkovič,2005-01-01,
Va savoir,romantic comedy,Jacques Rivette,2001-05-16,
The Nightmare,horror film,Achim Bornhak,2015-01-01,
Cinderella of the Far West,,Pascal Hérold,2012-01-01,
Mama,horror film,Andrés Muschietti,2013-01-17,
A Perfect Ending,LGBT-related film,Nicole Conn,2012-01-01,
Apostle,historical drama,Gareth Evans,2018-09-28,
Henryk Gorecki,,,,
Bad Genius,heist film,Nattawut Poonpiriya,2017-05-03,
Hichki,comedy-drama,Sidharth Malhotra,2018-03-22,
Joan Manel Vadell Cirer,,,,
A Children's Story,drama,Antonio Frazzi,2004-01-01,
What War May Bring,comedy-drama,Claude Lelouch,2010-01-01,
Are All Men Pedophiles?,documentary film,Jan-Willem Breure,2012-01-01,
Richard Sherman,,,,
Chained,horror film,Jennifer Lynch,2012-01-01,
The Temptation of St. Tony,drama,Veiko Õunpuu,2009-01-01,
Balkan Spy,comedy film,Dušan Kovačević,1984-01-01,
Ann Scott,,,,
"‘Captain Marvel’ Finds Directors in Anna Boden, Ryan Fleck (EXCLUSIVE)",,,2017-04-19,
The Wedding Plan,comedy film,Rama Burshtein,2017-06-15,
The Vanishing,thriller film,George Sluizer,1993-01-01,
Michel Merkt,,,,
Just To Be Sure,comedy-drama,Carine Tardieu,2017-09-06,
The Party's Over,drama,,2017-10-05,
Karol Szymanowski,Western classical music,,,
Professor Hamilton,,,,
Life Goes On,comedy film,Karen Oganesyan,2017-01-01,
Black Water,horror film,David Nerlich,2007-01-01,
A Change of Seasons,comedy film,Richard Lang,1980-01-01,
L’Animale,teen film,Katharina Mückstein,2018-03-16,
"Sex, Pity and Loneliness",drama,Lars Montag,2017-02-17,
Based on a True Story,thriller film,Roman Polanski,2018-05-17,
Tehran Taboo,drama,Ali Soozandeh,2017-05-20,
Aimée & Jaguar,war film,Max Färberböck,1999-02-10,
Masahiro Hosoda,,,,
Les Jolies Choses,drama,Gilles Paquet-Brenner,2001-01-01,
I Got Life!,comedy film,Blandine Lenoir,2017-04-26,
Chennai Express,romantic comedy,Rohit Shetty,2013-01-01,
Cherche fiancé tous frais payés,comedy film,Aline Issermann,2007-01-01,
Chicago Joe and the Showgirl,neo-noir,Bernard Rose,1990-01-01,
Chicago Overcoat,crime film,,2009-01-01,
Chico Xavier,,,,
Childhood Days,drama,Masahiro Shinoda,1990-01-12,
Chimpanzee,documentary film,Alastair Fothergill,2012-04-20,
Chinese Odyssey 2002,romantic comedy,Jeffrey Lau,2002-01-01,
Looking for Mr. Goodbart,,,2017-04-30,
Chok-Dee,biographical film,Xavier Durringer,2005-01-01,
Choose,crime film,,2011-01-01,
Chris Bacon,film score,,,
Chris Lighty,,,,
The Villainess,action film,Jung Byung-gil,2017-06-08,
'R Xmas,crime film,Abel Ferrara,2001-01-01,
Christmas in Connecticut,romantic comedy,Peter Godfrey,1945-08-11,
Mondo Meyer Upakhyan,drama,Buddhadeb Dasgupta,2002-01-01,
Sexual Chronicles of a French Family,coming-of-age story,Jean-Marc Barr,2012-05-09,
Sun Myung Moon,,,,
Jacques Ibert,,,,
City of Hope,crime film,John Sayles,1991-01-01,
The City of Your Final Destination,drama,James Ivory,2009-03-21,
Clapham Junction,LGBTI+ related TV series,Adrian Shergold,2007-01-01,
The Parent Rap,,,2001-11-11,
Perceptor,,,,
Class of '61,war film,Gregory Hoblit,1993-04-12,
Keyser Söze,,,,
Bloomington,,,,
Rent-a-Kid,television comedy,Fred Gerber,1995-01-01,
Cleanskin,drama,,2012-01-01,
Clifford's Really Big Movie,children's film,Robert Ramirez,2004-01-01,
Clinton Shorter,,,,
Last Days Here,documentary film,Don Argott,2011-01-01,
Closed Circuit,crime film,John Crowley,2013-01-01,
Clown,slasher film,Jon Watts,2014-01-01,
Ambush,war film,Olli Saarela,1999-01-22,
Clément,drama,Emmanuelle Bercot,2001-05-17,
Mother,drama,Rodrigo Sorogoyen,,
Outrage: Final Chapter,action film,Takeshi Kitano,2017-10-07,
Colin Stetson,jazz,,,
Marlina the Murderer in Four Acts,drama,Mouly Surya,2018-01-18,
Mindhorn,comedy film,Sean Foley,2016-10-09,
Gabriel and the Mountain,drama,Fellipe Gamarano Barbosa,2017-05-21,
Sicilian Ghost Story,drama,Fabio Grassadonia,2018-05-10,
Rangasthalam,historical drama,Sukumar,2018-03-30,
My Dead Boyfriend,comedy film,Anthony Edwards,2016-11-03,
House of Fury,action film,Stephen Fung,2005-01-01,
Ava,crime film,Tate Taylor,2020-07-02,
Ayano Tsuji,,,,
Lisa the Skeptic,,Neil Affleck,1997-11-23,
Kraglin,,,,
St. George Shoots the Dragon,drama,Srđan Dragojević,2009-01-01,
Das Bus,adventure fiction,Pete Michels,1998-02-15,
Mr. Lisa Goes to Washington,,,1991-09-26,
It's My Party,LGBT-related film,Randal Kleiser,1996-01-01,
Commander Bacara,,,,
Commander Bly,,,,
Commandments,romantic comedy,,1997-01-01,
Beneath Hill 60,war film,Jeremy Sims,2010-01-01,
Comme les cinq doigts de la main,crime film,Alexandre Arcady,2010-01-01,
Hey Good Looking!,comedy film,Lisa Azuelos,2006-01-01,
Little Lion,drama,Samuel Collardey,2012-11-14,
Fresh Horses,drama,David Anspaugh,1988-01-01,
How to Make a Monster,science fiction film,George Huang,2001-01-01,
How I Killed My Father,thriller film,Anne Fontaine,2001-09-19,
The Way I Spent the End of the World,drama,Cătălin Mitulescu,2006-01-01,
Night and Day,musical film,Michael Curtiz,1946-01-01,
Commissioner Liebowitz,,,,
Life or Something Like It,romantic comedy,Stephen Herek,2002-01-01,
John Zorn,jazz,,,
Joan of Paris,drama,Robert Stevenson,1942-01-01,
Toolbox Murders,slasher film,Tobe Hooper,2004-01-01,
Mrs. Possum,,,,
Female Pheasant,,,,
Mr. Mole,,,,
Chipmunk,,,,
The puberty,comedy film,Leander Haußmann,2017-07-06,
Accomplices,crime film,Frédéric Mermoud,2010-01-01,
"Game Over, Man!",action comedy film,Kyle Newacheck,2018-03-23,
Sgt. Stubby: An American Hero,war film,,2018-04-13,
Irreplaceable You,comedy-drama,Stephanie Laing,2018-02-16,
The Humanity Bureau,dystopian film,Rob W. King,2017-11-14,
Nusrat Fateh Ali Khan,,,,
Hampstead,,,,
Defenders of Riga,war film,Aigars Grauba,2007-01-01,
The North Star,musical film,Lewis Milestone,1943-01-01,
The Living End,comedy-drama,Gregg Araki,1992-01-01,
Across the Tracks,action film,Sandy Tung,1991-01-01,
Confession of Pain,drama,Andrew Lau,2006-01-01,
Treehouse of Horror XVIII,,Chuck Sheetz,2007-11-04,
Conrad Salinger,,,,
Tsar,political drama,Pavel Lungin,2009-05-17,
"The Mook, the Chef, the Wife and Her Homer",,,2006-09-10,
Red Nose Day Actually,romantic comedy,Richard Curtis,2017-05-25,
The President Wore Pearls,,,2003-11-16,
Summer 1993,comedy-drama,Carla Simón,2017-02-11,
Copacabana,comedy film,Marc Fitoussi,2010-01-01,
Corky Romano,comedy film,Rob Pritts,2001-01-01,
Cornouaille,drama,Anne Le Ny,2012-01-01,
Heavenly Body,coming-of-age story,Alice Rohrwacher,2011-01-01,
Dengar,,,,
Cosmos,anthology film,Marie-Julie Dallaire,1996-01-01,
Coteau Rouge,comedy-drama,André Forcier,2011-01-01,
Sleeping with the Enemy,psychological thriller,Joseph Ruben,1991-02-08,
"Hi, Are You Alone?",comedy film,Icíar Bollaín,1996-01-19,
Approved for Adoption,documentary film,Laurent Boileau,2012-06-04,
The Prime Gig,drama,Gregory Mosher,2001-01-01,
Waking Life,fantasy film,Richard Linklater,2001-01-01,
Jodoh Wasiat Bapak,,,,
Criminal Court,crime film,Robert Wise,1945-01-01,
Cowboy,comedy film,Benoît Mariage,2007-01-01,
Crime and Punishment in Suburbia,crime film,Rob Schmidt,2000-01-01,
Love Crime,psychological thriller,Alain Corneau,2010-01-01,
Running Free,war film,Sergei Bodrov,2000-01-01,
A Beginner's Guide to Endings,comedy film,Jonathan Sobol,2010-01-01,
The Trouble With You,comedy film,Pierre Salvadori,2018-05-14,
A Better Life,drama,Chris Weitz,2011-01-01,
A Bright Shining Lie,biography,,,Random House
A Crime,crime film,Manuel Pradal,2006-01-01,
A Dangerous Man,action film,Keoni Waxman,2009-01-01,
Crossover,coming-of-age story,Preston A. Whitmore II,2006-01-01,
Spider-Man: Original Motion Picture Score,,,2002-01-01,
A Dirty Shame,LGBT-related film,John Waters,2004-09-12,
A Dog's Breakfast,comedy film,David Hewlett,2006-01-01,
A Family Thing,drama,Richard Pearce,1996-01-01,
A Film with Me in It,comedy film,Ian Fitzgibbon,2008-01-01,
Love Lies Bleeding,thriller film,Keith Samples,2008-01-01,
A Happy Man,comedy film,Robert Ménard,2009-01-01,
A Haunting in Salem,horror film,Shane Van Dyke,2011-01-01,
A Hole in My Heart,drama,Lukas Moodysson,2004-01-01,
A Little Trip to Heaven,drama,Baltasar Kormákur,2005-01-01,
A Lonely Place to Die,thriller film,Julian Gilbey,2011-01-01,
A Murder of Crows,crime film,Rowdy Herrington,1999-01-01,
A Note of Triumph: The Golden Age of Norman Corwin,documentary film,Eric Simonson,2005-01-01,
A Perfect Getaway,crime film,David Twohy,2009-08-07,
The Vintner's Luck,fantasy film,Niki Caro,2009-01-01,
A Serbian Film,splatter film,Srđan Spasojević,2010-03-15,
A Serious Man,comedy-drama,Coen brothers,2009-09-12,
Cruising Bar,comedy film,Robert Ménard,1989-01-01,
Cruising Bar 2,comedy film,Robert Ménard,2008-01-01,
A Single Man,novel,,,
A Smile Like Yours,romantic comedy,Keith Samples,1997-01-01,
Crying Fist,action film,Ryu Seung-wan,2005-01-01,
Mood Indigo,film based on literature,Michel Gondry,2013-04-10,
A Time for Dancing,drama,Peter Gilbert,2002-01-01,
Whitney: Can I Be Me,documentary film,Rudi Dolezal,2017-06-08,
Crystal Fairy,adventure film,Sebastián Silva,2013-01-17,
Mabruk,,,,
The Scull,,,,
Rukh,,,,
The cat,,,,
The tree,,,,
Sundown,war film,Henry Hathaway,1941-01-01,
The Little Train Robbery,crime film,Edwin Stanton Porter,,
Page Eight,crime film,David Hare,2011-01-01,
Pinocchio's Revenge,horror film,Kevin S. Tenney,1996-01-01,
Cuore Sacro,drama,Ferzan Özpetek,2005-01-01,
White Material,drama,Claire Denis,2009-01-01,
Curling,drama,Denis Côté,2010-01-01,
Garage Days,comedy film,Alex Proyas,2002-01-01,
Mike Oldfield,Western classical music,,,
Aaja Nachle,comedy-drama,Anil Mehta,2007-01-01,
Rio Sex Comedy,sex comedy,Jonathan Nossiter,2010-09-16,
Perfume,historical novel,,,
The Tiger's Tail,thriller film,John Boorman,2006-01-01,
The Day,science fiction film,Douglas Aarniokoski,2011-01-01,
Cyril Colbeau-Justin,,,,
The Last Gangster,crime film,Edward Ludwig,1937-01-01,
Lidice,war film,Petr Nikolaev,2011-01-01,
Aaltra,comedy film,Benoît Delépine,2004-01-01,
The Abduction Club,comedy-drama,Stefan Schwartz,2002-01-01,
Marie-Francine,comedy film,Valérie Lemercier,2017-05-31,
Tom Yum Goong 2,action film,Prachya Pinkaew,2013-01-01,
Hit and Run,slasher film,Enda McCallion,2009-01-01,
Winter's Bone,crime film,Debra Granik,2010-01-01,
Stuck on You,romantic comedy,Bobby Farrelly,2003-01-01,
Homegrown,crime film,Stephen Gyllenhaal,1998-04-17,
Abdul Aziz (film maker),,,,
Summer Things,LGBT-related film,Michel Blanc,2002-01-01,
R.I.P.D.,buddy cop film,Robert Schwentke,2013-01-01,
Marfa Girl,drama,Larry Clark,2012-11-20,
Grassroots,comedy film,Stephen Gyllenhaal,2012-01-01,
Damage,erotic film,Louis Malle,1992-01-01,
Night Across the Street,drama,Raúl Ruiz,2012-01-01,
"A Woman, a Part",,Elisabeth Subrin,2016-01-31,
Damsels in Distress,comedy film,Whit Stillman,2011-01-01,
The Fairy,comedy film,Fiona Gordon,2011-01-01,
Everybody Has a Plan,crime film,Ana Piterbarg,2012-08-30,
C'est la vie!,comedy film,Olivier Nakache,2017-12-14,
Back to Burgundy,drama,Cédric Klapisch,2017-08-10,
Daniel Goudineau,,,,
The Canyons,erotic film,Paul Schrader,2013-07-29,
White Elephant,drama,Pablo Trapero,2012-05-17,
Daniel Nitt,pop music,,,
Daniel Wilson,,,,
The Lazarus Child,drama,Graham Theakston,2005-01-01,
The White Diamond,documentary film,Werner Herzog,2004-01-01,
In the City of Sylvia,drama,José Luis Guerin,2007-01-01,
On the Ropes,,Magaly Richard-Serrano,2007-01-01,
In My Skin,drama,Marina de Van,2002-01-01,
Danse avec lui,drama,Valérie Guignabodet,2007-01-01,
El Calentito,comedy film,Chus Gutiérrez,2005-01-01,
Yesterday Once More,romantic comedy,Johnnie To,2004-01-01,
Passion,,,,
Date with an Angel,romantic comedy,Tom McLoughlin,1987-01-01,
Promised Land,drama,Amos Gitai,2004-09-07,
Harsh Times,crime film,David Ayer,2006-01-01,
David Gerber,,,,
This Is the Army,musical film,Michael Curtiz,1943-01-01,
Boiling Point,film based on a novel,James B. Harris,1993-01-01,
David Lang,,,,
David Parfitt,,,,
The Lost Man,drama,Robert Alan Aurthur,1969-01-01,
TPB AFK,documentary film,Simon Klose,2013-02-08,
The Call,psychological thriller,,2020-11-27,
Me and You,novel,,,
De Dana Dan,comedy film,Priyadarshan,2009-11-27,
Early One Morning,flashback film,Jean-Marc Moutout,2011-01-01,
Starship Troopers: Traitor of Mars,military science fiction,Shi’ina Nobuyuki,,
From Hell to Victory,war film,Umberto Lenzi,1979-03-15,
La Ligne droite,drama,Régis Wargnier,2011-01-01,
Dead & Breakfast,comedy horror,Matthew Leutwyler,2004-01-01,
Dead Fish,action comedy film,Charley Stadler,2005-01-01,
Dead Man Talking,comedy-drama,Patrick Ridremont,2012-01-01,
Deadgirl,zombie film,Marcel Sarmiento,2012-01-01,
Deadly Impact,thriller film,Robert Kurtzman,2009-01-01,
December 7th,documentary film,John Ford,1943-01-01,
Def Con Dos,rock music,,,
Defence of the Realm,political thriller,David Drury,1985-01-01,
Definitive Collection Mini LP Replica CD Boxset,hard rock,,,
Delhi Belly,buddy film,Abhinay Deo,2011-01-01,
"Delphine 1, Yvan 0",romantic comedy,Dominique Farrugia,1996-01-01,
The Father and the Foreigner,drama,Ricky Tognazzi,2010-01-01,
Tomorrow We Move,comedy film,Chantal Akerman,2004-01-01,
Chris Brown,pop music,,,
That Was Then... This Is Now,coming-of-age story,Christopher Cain,1985-01-01,
Star Wars: Episode III – Revenge of the Sith (soundtrack),Western classical music,,,
Denis Héroux,,,,
Football Days,comedy film,David Serrano de la Peña,2003-09-19,
The Alarmist,comedy film,Evan Dunsky,1997-01-01,
Welcome to the Punch,crime film,Eran Creevy,2013-01-01,
Someday This Pain Will Be Useful to You,novel,,,
Derrière les murs,thriller film,Julien Lacombe,2011-01-01,
Callas Forever,musical film,Franco Zeffirelli,2002-01-01,
Young Girls in Black,drama,Jean-Paul Civeyrac,2010-01-01,
Des gens qui s'embrassent,romantic comedy,Danièle Thompson,2013-01-15,
Madame Irma,comedy film,Didier Bourdon,2006-01-01,
Brand upon the Brain!,silent film,Guy Maddin,2006-01-01,
Desirée Goyette,pop music,,,
Despero,,,,
Destricted,pornographic film,Marina Abramović,2006-01-01,
Detropia,documentary film,Rachel Grady,2012-01-21,
The Mission,crime film,Johnnie To,1999-01-01,
Let It Ride,comedy film,Joe Pytka,1989-01-01,
Mister Sinister,,,,
Deuxième vie,comedy film,Patrick Braoudé,2000-01-01,
Devil's Knot,crime film,Atom Egoyan,2013-09-08,
Dig!,documentary film,Ondi Timoner,2004-01-01,
Aaron Rosenberg,,,,
Sister My Sister,LGBT-related film,Nancy Meckler,1994-12-15,
Aaron Schroeder,,,,
Dick Tracy,,,1931-10-04,
Oscar,crime film,John Landis,1991-01-01,
Didine,romantic comedy,Vincent Dietschy,2008-01-01,
God Loves Caviar,pirate film,Yannis Smaragdis,2012-01-01,
Barry Manilow,pop music,,,
Diggers,coming-of-age story,Katherine Dieckmann,2006-01-01,
Dillinger,crime film,John Milius,1973-06-19,
Flying Tigers,war film,David Miller,1942-01-01,
Intimate Stories,road movie,Carlos Sorín,2002-11-15,
Richard Baker,,,,
He Knows You're Alone,slasher film,Armand Mastroianni,1980-08-29,
Disconnect,thriller film,Henry Alex Rubin,2012-01-01,
The Clown with the Portable Body,silent film,Georges Méliès,,
Truth or Dare,slasher film,,2012-01-01,
Beyond,,Kōji Morimoto,,
Tonight and Every Night,musical film,Victor Saville,1945-01-01,
The Big Red One,drama,Samuel Fuller,1980-01-01,
Blockers,sex comedy,Kay Cannon,2018-04-06,
Kaminey,action film,Vishal Bhardwaj,2009-01-01,
Hotel Artemis,crime film,Drew Pearce,2018-06-08,
All the Money in the World,biographical film,Ridley Scott,2017-12-08,
In Praise of Love,drama,Jean-Luc Godard,2001-01-01,
Divorcing Jack,thriller film,David Caffrey,1998-01-01,
Take a Deep Breath,LGBT-related film,,2004-01-01,
Zero,drama,Aanand L. Rai,2018-12-21,
Dr. Dolittle Million Dollar Mutts,comedy film,Alex Zamm,2009-01-01,
Doctor Who and the Curse of Fatal Death,,John Henderson,1999-03-12,
The Big Country,Western film,William Wyler,1958-01-01,
Dominique Dalcan,pop music,,,
Penelope,,,,
Guzaarish,drama,Sanjay Leela Bhansali,2010-01-01,
Brick Lane,,,,
Donoma,drama,Djinn Carrenard,2010-01-01,
Double Dare,documentary film,Amanda Micheli,2004-01-01,
John Digweed,,,,
Waiting...,coming-of-age story,Rob McKittrick,2005-01-01,
Dragon Squad,action film,Daniel Lee,2005-01-01,
The Last Dragon,action film,Michael Schultz,1985-01-01,
Dragonslayer,adventure film,Matthew Robbins,1981-06-26,
Dreamchild,drama,Gavin Millar,1985-01-01,
The King of Kong,documentary film,Seth Gordon,2007-01-01,
Let's Go to Prison,parody film,Bob Odenkirk,2006-01-01,
Drona,superhero film,Goldie Behl,2008-01-01,
Happy Birthday to Me,slasher film,J. Lee Thompson,1981-01-01,
Drunks,drama,Peter Cohn,1995-01-01,
Krippendorf's Tribe,comedy film,Todd Holland,1998-01-01,
Blood on the Sun,war film,Frank Lloyd,1945-01-01,
Ducoboo,,,,
Dum Maaro Dum,crime film,Rohan Sippy,2011-01-01,
The Fourteenth Chick,comedy film,Hany Abu-Assad,1998-01-01,
Paper Heart,romantic comedy,,2009-01-01,
Devil's Prey,thriller film,Bradford May,2001-01-01,
Alone in the Dark,,,,
The Fiendish Plot of Dr. Fu Manchu,parody film,Richard Quine,1980-08-08,
Fucking Åmål,coming-of-age story,Lukas Moodysson,1998-10-23,
Scenes of the Crime,crime film,Dominique Forma,2001-01-01,
Eastern Plays,drama,Kamen Kalev,2009-01-01,
Dépression et des potes,comedy film,Arnaud Lemort,2012-01-01,
Judge Me Tender,,,2010-05-23,
